month,borough,communitydistrict,refusetonscollected,papertonscollected,mgptonscollected,refuse_lag1,paper_lag1,mgp_lag1,refuse_lag12,population_2010,recycling_ratio,high_recycling
2022-01,Bronx,1,2992.7,214.5,135.6,2992.7,214.5,135.6,3518.18125,91497,0.10473255953093216,0
2022-02,Bronx,1,3125.8,209.0,132.6,2992.7,214.5,135.6,3166.3916666666664,91497,0.09851762127242314,0
2022-03,Bronx,1,3474.4,221.9,141.2,3125.8,209.0,132.6,3606.6229166666667,91497,0.09461889250814333,0
2022-04,Bronx,1,3183.5,229.4,133.4,3474.4,221.9,141.2,3522.277083333333,91497,0.10230380960437639,0
2022-05,Bronx,1,3250.0,237.1,141.1,3183.5,229.4,133.4,3792.5479166666664,91497,0.1042390165922496,0
2022-06,Bronx,1,3469.9,282.4,143.2,3250.0,237.1,141.1,3732.6062500000003,91497,0.10925426774483378,0
2022-07,Bronx,1,2966.3,227.1,140.9,3469.9,282.4,143.2,3750.3312499999997,91497,0.11036799328194823,0
2022-08,Bronx,1,3063.4,223.6,154.7,2966.3,227.1,140.9,3706.53125,91497,0.10991661097713339,0
2022-09,Bronx,1,3245.3,268.3,144.1,3063.4,223.6,154.7,3635.3375,91497,0.11274844847855207,0
2022-10,Bronx,1,3226.3,239.7,139.0,3245.3,268.3,144.1,3697.9395833333333,91497,0.10504854368932039,0
2022-11,Bronx,1,3293.9,230.4,144.9,3226.3,239.7,139.0,3676.0611111111116,91497,0.102283876594353,0
2022-12,Bronx,1,3247.9,231.5,128.9,3293.9,230.4,144.9,3717.6611111111106,91497,0.09988083030790122,0
2023-01,Bronx,1,3216.7,245.0,156.8,3247.9,231.5,128.9,2992.7,91497,0.11104048638938788,0
2023-02,Bronx,1,2728.1,179.4,126.7,3216.7,245.0,156.8,3125.8,91497,0.10088326412233868,0
2023-03,Bronx,1,3137.2,234.4,135.3,2728.1,179.4,126.7,3474.4,91497,0.1054207419658388,0
2023-04,Bronx,1,2804.4,205.6,130.2,3137.2,234.4,135.3,3183.5,91497,0.1069358639577097,0
2023-05,Bronx,1,3294.8,253.3,151.6,2804.4,205.6,130.2,3250.0,91497,0.10944130605184203,0
2023-06,Bronx,1,3307.2,283.5,150.2,3294.8,253.3,151.6,3469.9,91497,0.1159346681279906,0
2023-07,Bronx,1,3062.8,241.0,145.0,3307.2,283.5,150.2,2966.3,91497,0.1119229877058687,0
2023-08,Bronx,1,3093.3,224.5,151.7,3062.8,241.0,145.0,3063.4,91497,0.10843060959792478,0
2023-09,Bronx,1,3280.4,260.3,140.4,3093.3,224.5,151.7,3245.3,91497,0.10885333188449105,0
2023-10,Bronx,1,3351.4,241.2,146.0,3280.4,260.3,140.4,3226.3,91497,0.10356818060236452,0
2023-11,Bronx,1,3280.4,206.2,123.1,3351.4,241.2,146.0,3293.9,91497,0.09122641770784275,0
2023-12,Bronx,1,3283.1,241.1,132.9,3280.4,206.2,123.1,3247.9,91497,0.10226682343933718,0
2024-01,Bronx,1,3337.2,235.9,148.7,3283.1,241.1,132.9,3216.7,91497,0.1033370949540545,0
2024-02,Bronx,1,2867.9,191.3,113.0,3337.2,235.9,148.7,2728.1,91497,0.09592711682743836,0
